Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Population and dwellings,Population; 2016,1,2435,,,...,,...,35151728,,,...,,...
Population and dwellings,Population; 2011,1,,...,,...,,...,33476688,,,...,,...
Population and dwellings,Population percentage change; 2011 to 2016,,,...,,...,,...,5,,,...,,...
Population and dwellings,Total private dwellings,2,887,,,...,,...,15412443,,,...,,...
Population and dwellings,Private dwellings occupied by usual residents,3,827,,,...,,...,14072079,,,...,,...
Population and dwellings,Population density per square kilometre,,,...,,...,,...,3.9,,,...,,...
Population and dwellings,Land area in square kilometres,,,...,,...,,...,8965588.85,,,...,,...
Age characteristics,Total - Age groups and average age of the population - 100% data,4,2435,,1200,,1235,,35151730,,17264200,,17887530,
Age characteristics,  0 to 14 years,,555,,290,,265,,5839565,,2992920,,2846645,
Age characteristics,    0 to 4 years,,240,,125,,110,,1898790,,973030,,925760,
Age characteristics,    5 to 9 years,,170,,90,,80,,2018130,,1034685,,983445,
Age characteristics,    10 to 14 years,,145,,75,,75,,1922645,,985200,,937445,
Age characteristics,  15 to 64 years,,1705,,820,,880,,23376530,,11576130,,11800400,
Age characteristics,    15 to 19 years,,115,,50,,60,,2026160,,1039215,,986940,
Age characteristics,    20 to 24 years,,135,,60,,80,,2242690,,1144495,,1098200,
Age characteristics,    25 to 29 years,,210,,100,,110,,2285990,,1144470,,1141515,
Age characteristics,    30 to 34 years,,280,,140,,145,,2329395,,1148290,,1181110,
Age characteristics,    35 to 39 years,,210,,105,,105,,2288365,,1118635,,1169730,
Age characteristics,    40 to 44 years,,205,,105,,100,,2255135,,1104440,,1150695,
Age characteristics,    45 to 49 years,,145,,70,,75,,2359965,,1157760,,1202210,
Age characteristics,    50 to 54 years,,180,,90,,90,,2678075,,1318755,,1359320,
Age characteristics,    55 to 59 years,,125,,60,,65,,2620240,,1285190,,1335055,
Age characteristics,    60 to 64 years,,90,,45,,45,,2290510,,1114885,,1175630,
Age characteristics,  65 years and over,,180,,90,,90,,5935630,,2695150,,3240485,
Age characteristics,    65 to 69 years,,80,,35,,45,,1972480,,953075,,1019405,
Age characteristics,    70 to 74 years,,40,,25,,20,,1420875,,677975,,742900,
Age characteristics,    75 to 79 years,,30,,15,,20,,1021850,,469550,,552300,
Age characteristics,    80 to 84 years,,15,,10,,5,,749650,,325765,,423880,
Age characteristics,    85 years and over,,10,,0,,5,,770780,,268790,,501990,
Age characteristics,      85 to 89 years,,0,,0,,0,,482525,,185535,,296990,
Age characteristics,      90 to 94 years,,5,,0,,5,,223510,,68675,,154835,
Age characteristics,      95 to 99 years,,0,,0,,0,,56525,,13240,,43280,
Age characteristics,      100 years and over,,0,,0,,0,,8230,,1340,,6890,
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100,,100,,100,,100,,100,,100,
Age characteristics,  0 to 14 years,,22.8,,24.2,,21.5,,16.6,,17.3,,15.9,
Age characteristics,  15 to 64 years,,70,,68.3,,71.3,,66.5,,67.1,,66,
