Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Population and dwellings,Population; 2016,1,15330,,,...,,...,35151728,,,...,,...
Population and dwellings,Population; 2011,1,,...,,...,,...,33476688,,,...,,...
Population and dwellings,Population percentage change; 2011 to 2016,,,...,,...,,...,5,,,...,,...
Population and dwellings,Total private dwellings,2,6497,,,...,,...,15412443,,,...,,...
Population and dwellings,Private dwellings occupied by usual residents,3,6190,,,...,,...,14072079,,,...,,...
Population and dwellings,Population density per square kilometre,,,...,,...,,...,3.9,,,...,,...
Population and dwellings,Land area in square kilometres,,,...,,...,,...,8965588.85,,,...,,...
Age characteristics,Total - Age groups and average age of the population - 100% data,4,15330,,7260,,8070,,35151730,,17264200,,17887530,
Age characteristics,  0 to 14 years,,2670,,1390,,1280,,5839565,,2992920,,2846645,
Age characteristics,    0 to 4 years,,635,,335,,300,,1898790,,973030,,925760,
Age characteristics,    5 to 9 years,,940,,485,,455,,2018130,,1034685,,983445,
Age characteristics,    10 to 14 years,,1090,,570,,520,,1922645,,985200,,937445,
Age characteristics,  15 to 64 years,,9740,,4610,,5125,,23376530,,11576130,,11800400,
Age characteristics,    15 to 19 years,,1095,,550,,545,,2026160,,1039215,,986940,
Age characteristics,    20 to 24 years,,915,,450,,465,,2242690,,1144495,,1098200,
Age characteristics,    25 to 29 years,,775,,370,,400,,2285990,,1144470,,1141515,
Age characteristics,    30 to 34 years,,670,,310,,355,,2329395,,1148290,,1181110,
Age characteristics,    35 to 39 years,,790,,350,,445,,2288365,,1118635,,1169730,
Age characteristics,    40 to 44 years,,970,,440,,530,,2255135,,1104440,,1150695,
Age characteristics,    45 to 49 years,,1225,,560,,665,,2359965,,1157760,,1202210,
Age characteristics,    50 to 54 years,,1245,,595,,650,,2678075,,1318755,,1359320,
Age characteristics,    55 to 59 years,,1125,,545,,580,,2620240,,1285190,,1335055,
Age characteristics,    60 to 64 years,,935,,440,,495,,2290510,,1114885,,1175630,
Age characteristics,  65 years and over,,2925,,1255,,1670,,5935630,,2695150,,3240485,
Age characteristics,    65 to 69 years,,810,,370,,440,,1972480,,953075,,1019405,
Age characteristics,    70 to 74 years,,685,,300,,380,,1420875,,677975,,742900,
Age characteristics,    75 to 79 years,,500,,205,,290,,1021850,,469550,,552300,
Age characteristics,    80 to 84 years,,445,,185,,260,,749650,,325765,,423880,
Age characteristics,    85 years and over,,490,,195,,295,,770780,,268790,,501990,
