Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Population and dwellings,Population; 2016,1,20822,,,...,,...,35151728,,,...,,...
Population and dwellings,Population; 2011,1,,...,,...,,...,33476688,,,...,,...
Population and dwellings,Population percentage change; 2011 to 2016,,,...,,...,,...,5,,,...,,...
Population and dwellings,Total private dwellings,2,10809,,,...,,...,15412443,,,...,,...
Population and dwellings,Private dwellings occupied by usual residents,3,10306,,,...,,...,14072079,,,...,,...
Population and dwellings,Population density per square kilometre,,,...,,...,,...,3.9,,,...,,...
Population and dwellings,Land area in square kilometres,,,...,,...,,...,8965588.85,,,...,,...
Age characteristics,Total - Age groups and average age of the population - 100% data,4,20820,,10915,,9910,,35151730,,17264200,,17887530,
Age characteristics,  0 to 14 years,,2635,,1355,,1280,,5839565,,2992920,,2846645,
Age characteristics,    0 to 4 years,,1030,,560,,475,,1898790,,973030,,925760,
Age characteristics,    5 to 9 years,,850,,420,,425,,2018130,,1034685,,983445,
Age characteristics,    10 to 14 years,,755,,375,,380,,1922645,,985200,,937445,
Age characteristics,  15 to 64 years,,15565,,8375,,7195,,23376530,,11576130,,11800400,
Age characteristics,    15 to 19 years,,855,,440,,420,,2026160,,1039215,,986940,
Age characteristics,    20 to 24 years,,1545,,785,,760,,2242690,,1144495,,1098200,
Age characteristics,    25 to 29 years,,2110,,1140,,965,,2285990,,1144470,,1141515,
Age characteristics,    30 to 34 years,,2075,,1100,,970,,2329395,,1148290,,1181110,
Age characteristics,    35 to 39 years,,1880,,1055,,830,,2288365,,1118635,,1169730,
Age characteristics,    40 to 44 years,,1465,,785,,685,,2255135,,1104440,,1150695,
Age characteristics,    45 to 49 years,,1500,,825,,675,,2359965,,1157760,,1202210,
Age characteristics,    50 to 54 years,,1665,,950,,720,,2678075,,1318755,,1359320,
Age characteristics,    55 to 59 years,,1415,,760,,655,,2620240,,1285190,,1335055,
Age characteristics,    60 to 64 years,,1060,,530,,530,,2290510,,1114885,,1175630,
Age characteristics,  65 years and over,,2615,,1185,,1435,,5935630,,2695150,,3240485,
Age characteristics,    65 to 69 years,,965,,490,,475,,1972480,,953075,,1019405,
Age characteristics,    70 to 74 years,,650,,295,,360,,1420875,,677975,,742900,
Age characteristics,    75 to 79 years,,400,,175,,220,,1021850,,469550,,552300,
Age characteristics,    80 to 84 years,,280,,120,,165,,749650,,325765,,423880,
Age characteristics,    85 years and over,,325,,105,,220,,770780,,268790,,501990,
Age characteristics,      85 to 89 years,,195,,75,,120,,482525,,185535,,296990,
Age characteristics,      90 to 94 years,,100,,25,,80,,223510,,68675,,154835,
Age characteristics,      95 to 99 years,,25,,5,,20,,56525,,13240,,43280,
Age characteristics,      100 years and over,,5,,0,,5,,8230,,1340,,6890,
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100,,100,,100,,100,,100,,100,
Age characteristics,  0 to 14 years,,12.7,,12.4,,12.9,,16.6,,17.3,,15.9,
Age characteristics,  15 to 64 years,,74.8,,76.7,,72.6,,66.5,,67.1,,66,
Age characteristics,  65 years and over,,12.6,,10.9,,14.5,,16.9,,15.6,,18.1,
Age characteristics,    85 years and over,,1.6,,1,,2.2,,2.2,,1.6,,2.8,
Age characteristics,Average age of the population,,39.7,,39.2,,40.3,,41,,40.1,,41.9,
Age characteristics,Median age of the population,,38,,37.9,,38.1,,41.2,,40.2,,42.2,
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,5,10305,,,...,,...,14072080,,,...,,...
Household and dwelling characteristics,  Single-detached house,,85,,,...,,...,7541495,,,...,,...
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,8370,,,...,,...,1391040,,,...,,...
Household and dwelling characteristics,  Other attached dwelling,6,1855,,,...,,...,4949795,,,...,,...
Household and dwelling characteristics,    Semi-detached house,,280,,,...,,...,698800,,,...,,...
Household and dwelling characteristics,    Row house,,430,,,...,,...,891305,,,...,,...
Household and dwelling characteristics,    Apartment or flat in a duplex,,95,,,...,,...,784300,,,...,,...
Household and dwelling characteristics,    Apartment in a building that has fewer than five storeys,,1035,,,...,,...,2539390,,,...,,...
Household and dwelling characteristics,    Other single-attached house,,10,,,...,,...,36005,,,...,,...
Household and dwelling characteristics,  Movable dwelling,7,0,,,...,,...,189755,,,...,,...
Household and dwelling characteristics,Total - Private households by household size - 100% data,8,10310,,,...,,...,14072080,,,...,,...
Household and dwelling characteristics,  1 person,,4690,,,...,,...,3969790,,,...,,...
Household and dwelling characteristics,  2 persons,,3065,,,...,,...,4834605,,,...,,...
Household and dwelling characteristics,  3 persons,,1370,,,...,,...,2140640,,,...,,...
Household and dwelling characteristics,  4 persons,,765,,,...,,...,1946275,,,...,,...
Household and dwelling characteristics,  5 or more persons,,420,,,...,,...,1180770,,,...,,...
Household and dwelling characteristics,Number of persons in private households,,20280,,,...,,...,34460060,,,...,,...
Household and dwelling characteristics,Average household size,,2,,,...,,...,2.4,,,...,,...
Marital status,Total - Marital status for the population aged 15 years and over - 100% data,9,18185,,9560,,8630,,29312160,,14271280,,15040885,
Marital status,  Married or living common law,,7430,,3985,,3450,,16893720,,8452135,,8441585,
Marital status,    Married,,5770,,3005,,2770,,13383455,,6693465,,6689990,
Marital status,    Living common law,,1665,,980,,685,,3510265,,1758670,,1751590,
Marital status,  Not married and not living common law,,10750,,5570,,5180,,12418440,,5819140,,6599300,
Marital status,    Never married,,7960,,4525,,3435,,8254340,,4444425,,3809915,
Marital status,    Separated,,640,,295,,355,,718295,,309905,,408400,
Marital status,    Divorced,,1395,,610,,785,,1816005,,725535,,1090470,
Marital status,    Widowed,,750,,140,,610,,1629800,,339280,,1290525,
Family characteristics,Total - Census families in private households by family size - 100% data,10,4565,,,...,,...,9840730,,,...,,...
Family characteristics,  2 persons,,2465,,,...,,...,5007790,,,...,,...
Family characteristics,  3 persons,,1100,,,...,,...,2107830,,,...,,...
Family characteristics,  4 persons,,695,,,...,,...,1909935,,,...,,...
Family characteristics,  5 or more persons,,300,,,...,,...,815170,,,...,,...
Family characteristics,Average size of census families,,2.8,,,...,,...,2.9,,,...,,...
Family characteristics,Total number of census families in private households - 100% data,11,4565,,,...,,...,9840730,,,...,,...
Family characteristics,  Total couple families,,3490,,,...,,...,8227925,,,...,,...
Family characteristics,    Married couples,,2665,,,...,,...,6474005,,,...,,...
Family characteristics,    Common-law couples,,830,,,...,,...,1753920,,,...,,...
Family characteristics,  Total lone-parent families by sex of parent,,1070,,,...,,...,1612805,,,...,,...
Family characteristics,    Female parent,,915,,,...,,...,1262340,,,...,,...
Family characteristics,    Male parent,,155,,,...,,...,350465,,,...,,...
Family characteristics,Total - Couple census families in private households - 100% data,,3490,,,...,,...,8227925,,,...,,...
Family characteristics,  Couples without children,,1785,,,...,,...,4024305,,,...,,...
Family characteristics,  Couples with children,,1705,,,...,,...,4203615,,,...,,...
